,Hostname,IP-Adresse,Seriennr
0,de-fid-eberd-sh-01a,10.51.191.46,CN78DRR13Q
3,de-fid-weiss-sh-06a,10.51.149.54,CN78DRW0SR
4,de-fid-weiss-sh-06b,10.51.149.53,CN78DRW00G
139,de-fid-obers-sh-08a,10.178.191.62,CN48FPC1X8
277,de-fid-rosen-sh-25a,10.51.177.86,CN35DRR3JL
279,de-fid-altdo-sh-03b,10.51.180.38,CN94FPC09K
282,de-fid-badli-sh-02b,10.51.179.174,CN94FPC0G2
313,de-fid-boebl-sh-01h,10.51.164.6,CN89FPB0XP
327,de-fid-schoe-sh-10a,10.51.198.78,CN94FPC0HF
338,de-fid-sinde-sh-04b,10.51.177.190,CN68FPC0P0
339,de-fid-sinde-sh-23b,10.51.171.150,CN68FPC028
377,de-fid-baufi-sh-01a,10.178.174.30,CN79FPC06F
435,de-fid-fulda-sh-01a,10.51.164.206,CN82FPC00K
439,de-fid-gross-sh-03a,10.51.174.62,CN5BFPB006
470,de-fid-baier-sh-01a,10.178.213.126,CN88FPC069
471,de-fid-baier-sh-02a,10.178.173.190,CN88FPB07F
472,de-fid-baier-sh-03a,10.178.197.134,CN88FPB190
473,de-fid-baier-sh-04a,10.178.203.150,CN88FPB09P
474,de-fid-baier-sh-17a,10.178.216.246,CN86DRW06J
475,de-fid-empfi-sh-04a,10.178.197.70,CN33DRW1CH
476,de-fid-eutin-sh-08b,10.178.183.22,CN85FPB0XW
484,de-fid-freud-sh-15b,10.178.185.246,CN81FPB2VT
485,de-fid-freud-sh-17b,10.178.208.14,CN81FPB1P3
486,de-fid-freud-sh-19b,10.178.192.110,CN85FPB0FR
487,de-fid-freude-sh-01a,10.178.174.142,CN88FPB0XJ
488,de-fid-glatt-sh-02b,10.178.187.166,CN86DRW02M
489,de-fid-horb1-sh-07e,10.178.146.126,CN91FP318G
490,de-fid-horb1-sh-07f,10.178.146.125,CN91FP31JM
491,de-fid-horb1-sh-07g,10.178.146.124,CN91FP31JC
492,de-fid-horb1-sh-07h,10.178.146.123,CN91FP312B
493,de-fid-horb1-sh-08b,10.178.212.214,CN81FPB2C0
494,de-fid-horb1-sh-09b,10.178.209.214,CN85FPB0YK
495,de-fid-horb1-sh-12b,10.178.180.46,CN85FPB0WD
496,de-fid-horb1-sh-13b,10.178.195.150,CN81FPB2MV
497,de-fid-lossb-sh-03a,10.178.175.62,CN88FPB11G
498,de-fid-seewa-sh-03b,10.178.177.254,CN85FPB026
531,de-fid-muehl-sh-59b,10.178.213.6,CN7AFPB3W0
545,de-fid-vaihi-sh-07a,10.178.194.38,CN6BFPC0VX
546,de-fid-badhe-sh-01a,10.51.204.70,CN29DRW2V9
556,de-fid-hersf-sh-02a,10.51.200.46,CN83FPB1TQ
578,de-fid-00011-sh-01b,172.30.145.214,CN69DRV0DJ
579,de-fid-00030-sh-01c,172.30.146.30,CN60DRW0BJ
580,de-fid-00030-sh-01d,172.30.146.29,CN60DRW0CW
583,de-fid-aicht-sh-03a,10.178.173.214,CN2BDRV075
586,de-fid-bissi-sh-04a,10.178.153.246,CN19DRV14P
587,de-fid-detti-sh-14a,10.178.212.38,CN31DRV05X
626,de-fid-kirch-sh-01a,10.178.193.246,CN32DRR0CY
627,de-fid-kirch-sh-82a,10.178.211.86,CN32DRR0WB
628,de-fid-kirch-sh-83a,10.178.169.62,CN2ADRV02D
629,de-fid-lenni-sh-62a,10.178.217.62,CN2BDRV0B9
630,de-fid-necka-sh-01a,10.178.201.142,CN65DRV02G
631,de-fid-necka-sh-16b,10.178.202.30,CN2BDRV03S
632,de-fid-neuff-sh-02a,10.178.171.62,CN2BDRV08F
633,de-fid-notzi-sh-03a,10.178.178.94,CN32DRR0S1
